Increment value,62192
Time (us),waveform (u12),saw (u12),tri (u12),pulse (u12)
132,2019,-29,1990,2047,3745,252730
133,2034,-14,2020,2047,1872,256540
134,2049,1,2045,2047,1872,259715
135,2064,16,2015,2047,1872,255905
136,2080,32,1983,2047,1872,251841
137,2095,47,1953,2047,1872,248031
138,2110,62,1923,2047,1872,244221
139,2125,77,1893,2047,1872,240411
140,2140,92,1863,2047,1872,236601
141,2156,108,1831,2047,1872,232537
142,2171,123,1801,2047,1872,228727
143,2186,138,1771,2047,1872,224917
144,2201,153,1741,2047,1872,221107
145,2216,168,1711,2047,1872,217297
146,2231,183,1681,2047,1872,213487
147,2247,199,1649,2047,1872,209423
148,2262,214,1619,2047,1872,205613
149,2277,229,1589,2047,1872,201803
150,2292,244,1559,2047,1872,197993
151,2307,259,1529,2047,1872,194183
152,2323,275,1497,2047,1872,190119
153,2338,290,1467,2047,1872,186309
154,2353,305,1437,2047,1872,182499
155,2368,320,1407,2047,1872,178689
156,2383,335,1377,2047,1872,174879
157,2399,351,1345,2047,1872,170815
158,2414,366,1315,2047,1872,167005
159,2429,381,1285,2047,1872,163195
160,2444,396,1255,2047,1872,159385
161,2459,411,1225,2047,1872,155575
162,2474,426,1195,2047,1872,151765
163,2490,442,1163,2047,1872,147701
164,2505,457,1133,2047,1872,143891
165,2520,472,1103,2047,1872,140081
166,2535,487,1073,2047,1872,136271
167,2550,502,1043,2047,1872,132461
168,2566,518,1011,2047,1872,128397
169,2581,533,981,2047,1872,124587
170,2596,548,951,2047,1872,120777
171,2611,563,921,2047,1872,116967
172,2626,578,891,2047,1872,113157
173,2641,593,861,2047,1872,109347
174,2657,609,829,2047,1872,105283
175,2672,624,799,2047,1872,101473
176,2687,639,769,2047,1872,97663
177,2702,654,739,2047,1872,93853
178,2717,669,709,2047,1872,90043
179,2733,685,677,2047,1872,85979
180,2748,700,647,2047,1872,82169
181,2763,715,617,2047,1872,78359
182,2778,730,587,2047,1872,74549
183,2793,745,557,2047,1872,70739
184,2808,760,527,2047,1872,66929
185,2824,776,495,2047,1872,62865
186,2839,791,465,2047,1872,59055
187,2854,806,435,2047,1872,55245
188,2869,821,405,2047,1872,51435
189,2884,836,375,2047,1872,47625
190,2900,852,343,2047,1872,43561
191,2915,867,313,2047,1872,39751
192,2930,882,283,2047,1872,35941
193,2945,897,253,2047,1872,32131
194,2960,912,223,2047,1872,28321
195,2975,927,193,2047,1872,24511
196,2991,943,161,2047,1872,20447
197,3006,958,131,2047,1872,16637
198,3021,973,101,2047,1872,12827
199,3036,988,71,2047,1872,9017
200,3051,1003,41,2047,1872,5207
201,3067,1019,9,2047,1872,1143
202,3082,1034,-21,2047,936,-2667
203,3097,1049,-51,2047,2516,-6477
204,3112,1064,-81,2047,3306,-10287
205,3127,1079,-111,2047,1653,-14097
206,3143,1095,-143,2047,2874,-18161
207,3158,1110,-173,2047,1437,-21971
208,3173,1125,-203,2047,718,-25781
209,3188,1140,-233,2047,2407,-29591
210,3203,1155,-263,2047,1203,-33401
211,3218,1170,-293,2047,601,-37211
212,3234,1186,-325,2047,300,-41275
213,3249,1201,-355,2047,150,-45085
214,3264,1216,-385,2047,2123,-48895
215,3279,1231,-415,2047,1061,-52705
216,3294,1246,-445,2047,2578,-56515
217,3310,1262,-477,2047,1289,-60579
218,3325,1277,-507,2047,2692,-64389
219,3340,1292,-537,2047,3394,-68199
220,3355,1307,-567,2047,3745,-72009
221,3370,1322,-597,2047,1872,-75819
222,3385,1337,-627,2047,2984,-79629
223,3401,1353,-659,2047,3540,-83693
224,3416,1368,-689,2047,3818,-87503
225,3431,1383,-719,2047,1909,-91313
226,3446,1398,-749,2047,3002,-95123
227,3461,1413,-779,2047,3549,-98933
228,3477,1429,-811,2047,1774,-102997
229,3492,1444,-841,2047,2935,-106807
230,3507,1459,-871,2047,1467,-110617
231,3522,1474,-901,2047,733,-114427
232,3537,1489,-931,2047,2414,-118237
233,3552,1504,-961,2047,1207,-122047
234,3568,1520,-993,2047,2651,-126111
235,3583,1535,-1023,2047,1325,-129921
236,3598,1550,-1053,2047,2710,-133731
237,3613,1565,-1083,2047,3403,-137541
238,3628,1580,-1113,2047,3749,-141351
239,3644,1596,-1145,2047,3922,-145415
240,3659,1611,-1175,2047,4009,-149225
241,3674,1626,-1205,2047,2004,-153035
242,3689,1641,-1235,2047,1002,-156845
243,3704,1656,-1265,2047,2549,-160655
244,3719,1671,-1295,2047,1274,-164465
245,3735,1687,-1327,2047,637,-168529
246,3750,1702,-1357,2047,2366,-172339
247,3765,1717,-1387,2047,1183,-176149
248,3780,1732,-1417,2047,591,-179959
249,3795,1747,-1447,2047,2343,-183769
250,3811,1763,-1479,2047,1171,-187833
251,3826,1778,-1509,2047,585,-191643
252,3841,1793,-1539,2047,292,-195453
253,3856,1808,-1569,2047,146,-199263
254,3871,1823,-1599,2047,73,-203073
255,3887,1839,-1631,2047,36,-207137
256,3902,1854,-1661,2047,2066,-210947
257,3917,1869,-1691,2047,1033,-214757
258,3932,1884,-1721,2047,2564,-218567
259,3947,1899,-1751,2047,3330,-222377
260,3962,1914,-1781,2047,3713,-226187
261,3978,1930,-1813,2047,1856,-230251
262,3993,1945,-1843,2047,2976,-234061
263,4008,1960,-1873,2047,3536,-237871
264,4023,1975,-1903,2047,3816,-241681
265,4038,1990,-1933,2047,1908,-245491
266,4054,2006,-1965,2047,954,-249555
267,4069,2021,-1995,2047,2525,-253365
268,4084,2036,-2025,2047,1262,-257175
269,3,-2045,-2042,-2048,1262,-259334
270,18,-2030,-2012,-2048,1262,-255524
271,33,-2015,-1982,-2048,1262,-251714
272,49,-1999,-1950,-2048,1262,-247650
273,64,-1984,-1920,-2048,1262,-243840
274,79,-1969,-1890,-2048,1262,-240030
275,94,-1954,-1860,-2048,1262,-236220
276,109,-1939,-1830,-2048,1262,-232410
277,125,-1923,-1798,-2048,1262,-228346
278,140,-1908,-1768,-2048,1262,-224536
279,155,-1893,-1738,-2048,1262,-220726
280,170,-1878,-1708,-2048,1262,-216916
281,185,-1863,-1678,-2048,1262,-213106
282,200,-1848,-1648,-2048,1262,-209296
283,216,-1832,-1616,-2048,1262,-205232
284,231,-1817,-1586,-2048,1262,-201422
285,246,-1802,-1556,-2048,1262,-197612
286,261,-1787,-1526,-2048,1262,-193802
287,276,-1772,-1496,-2048,1262,-189992
288,292,-1756,-1464,-2048,1262,-185928
289,307,-1741,-1434,-2048,1262,-182118
290,322,-1726,-1404,-2048,1262,-178308
291,337,-1711,-1374,-2048,1262,-174498
292,352,-1696,-1344,-2048,1262,-170688
293,367,-1681,-1314,-2048,1262,-166878
294,383,-1665,-1282,-2048,1262,-162814
295,398,-1650,-1252,-2048,1262,-159004
296,413,-1635,-1222,-2048,1262,-155194
297,428,-1620,-1192,-2048,1262,-151384
298,443,-1605,-1162,-2048,1262,-147574
299,459,-1589,-1130,-2048,1262,-143510
300,474,-1574,-1100,-2048,1262,-139700
301,489,-1559,-1070,-2048,1262,-135890
302,504,-1544,-1040,-2048,1262,-132080
303,519,-1529,-1010,-2048,1262,-128270
304,534,-1514,-980,-2048,1262,-124460
305,550,-1498,-948,-2048,1262,-120396
306,565,-1483,-918,-2048,1262,-116586
307,580,-1468,-888,-2048,1262,-112776
308,595,-1453,-858,-2048,1262,-108966
309,610,-1438,-828,-2048,1262,-105156
310,626,-1422,-796,-2048,1262,-101092
311,641,-1407,-766,-2048,1262,-97282
312,656,-1392,-736,-2048,1262,-93472
313,671,-1377,-706,-2048,1262,-89662
314,686,-1362,-676,-2048,1262,-85852
315,702,-1346,-644,-2048,1262,-81788
316,717,-1331,-614,-2048,1262,-77978
317,732,-1316,-584,-2048,1262,-74168
318,747,-1301,-554,-2048,1262,-70358
319,762,-1286,-524,-2048,1262,-66548
320,777,-1271,-494,-2048,1262,-62738
321,793,-1255,-462,-2048,1262,-58674
322,808,-1240,-432,-2048,1262,-54864
323,823,-1225,-402,-2048,1262,-51054
324,838,-1210,-372,-2048,1262,-47244
325,853,-1195,-342,-2048,1262,-43434
326,869,-1179,-310,-2048,1262,-39370
327,884,-1164,-280,-2048,1262,-35560
328,899,-1149,-250,-2048,1262,-31750
329,914,-1134,-220,-2048,1262,-27940
330,929,-1119,-190,-2048,1262,-24130
331,944,-1104,-160,-2048,1262,-20320
332,960,-1088,-128,-2048,1262,-16256
333,975,-1073,-98,-2048,1262,-12446
334,990,-1058,-68,-2048,1262,-8636
335,1005,-1043,-38,-2048,1262,-4826
336,1020,-1028,-8,-2048,1262,-1016
337,1036,-1012,24,2047,2679,3048
338,1051,-997,54,2047,1339,6858
339,1066,-982,84,2047,2717,10668
340,1081,-967,114,2047,3406,14478
341,1096,-952,144,2047,1703,18288
342,1111,-937,174,2047,2899,22098
343,1127,-921,206,2047,1449,26162
344,1142,-906,236,2047,2772,29972
345,1157,-891,266,2047,3434,33782
346,1172,-876,296,2047,3765,37592
347,1187,-861,326,2047,3930,41402
348,1203,-845,358,2047,4013,45466
349,1218,-830,388,2047,2006,49276
350,1233,-815,418,2047,1003,53086
